image,video,minutage
i001,out,
i002,v31,3.7704371037704374
i003,v27,21.65498832165499
i004,out,
i005,v40,7.640974307640975
i006,out,
i007,out,
i008,out,
i009,v06,0.033366700033366704
i010,out,
i011,v06,15.048381715048382
i012,v25,0.16683350016683351
i013,v27,21.65498832165499
i014,v06,15.048381715048382
i015,v44,21.32132132132132
i016,v20,5.405405405405405
i017,out,
i018,out,
i019,out,
i020,v40,7.640974307640975
i021,out,
i022,out,
i023,out,
i024,v18,1.8685352018685353
i025,v06,11.378044711378045
i026,v38,6.039372706039373
i027,out,
i028,out,
i029,v06,12.012012012012013
i030,v06,11.911911911911913
i031,out,
i032,v39,9.175842509175842
i033,out,
i034,v18,0.033366700033366704
i035,v20,5.038371705038372
i036,v25,0.033366700033366704
i037,out,
i038,v44,9.20920920920921
i039,v31,11.644978311644978
i040,v06,12.012012012012013
i041,v25,0.16683350016683351
i042,v40,7.640974307640975
i043,v20,5.405405405405405
i044,v06,15.048381715048382
i045,v06,15.048381715048382
i046,v06,11.711711711711713
i047,v25,0.033366700033366704
i048,out,
i049,v18,0.033366700033366704
i050,v18,0.033366700033366704
i051,out,
i052,v25,0.16683350016683351
i053,v06,12.012012012012013
i054,v27,21.65498832165499
i055,v18,0.033366700033366704
i056,out,
i057,v06,15.048381715048382
i058,v25,0.16683350016683351
i059,v25,0.033366700033366704
i060,v39,3.4034034034034035
i061,v18,0.7007007007007007
i062,v06,9.042375709042377
i063,v38,15.048381715048382
i064,v06,11.711711711711713
i065,v20,5.271938605271939
i066,v27,16.850183516850183
i067,v18,0.7007007007007007
i068,out,
i069,v06,16.216216216216218
i070,out,
i071,v06,12.078745412078746
i072,out,
i073,v39,15.048381715048382
i074,v18,2.1688355021688355
i075,out,
i076,v06,15.048381715048382
i077,v44,6.039372706039373
i078,v18,0.033366700033366704
i079,v06,11.911911911911913
i080,v27,21.788455121788456
i081,v39,15.048381715048382
i082,out,
i083,v06,13.713713713713714
i084,out,
i085,out,
i086,out,
i087,v38,9.042375709042377
i088,v20,10.777444110777445
i089,out,
i090,out,
i091,v06,12.012012012012013
i092,out,
i093,out,
i094,v20,3.0363697030363697
i095,out,
i096,out,
i097,v27,19.252585919252585
i098,v18,0.033366700033366704
i099,v01,11.845178511845178
i100,out,
i101,v44,4.904904904904905
i102,out,
i103,v06,12.045378712045379
i104,v44,4.337671004337671
i105,out,
i106,out,
i107,out,
i108,v24,0.8008008008008008
i109,v25,0.033366700033366704
i110,v06,15.048381715048382
i111,v18,0.033366700033366704
i112,v49,7.774441107774441
i113,v06,7.907907907907909
i114,v39,12.645979312645979
i115,v44,5.4387721054387725
i116,out,
i117,v06,15.048381715048382
i118,v20,5.038371705038372
i119,out,
i120,v39,6.0060060060060065
i121,v44,5.972639305972639
i122,out,
i123,v10,9.642976309642977
i124,v06,15.048381715048382
i125,v06,4.137470804137471
i126,v06,15.048381715048382
i127,out,
i128,out,
i129,out,
i130,v25,0.033366700033366704
i131,v06,3.0363697030363697
i132,out,
i133,v44,9.075742409075742
i134,v06,15.048381715048382
i135,out,
i136,v06,8.408408408408409
i137,v44,5.839172505839173
i138,v20,5.405405405405405
i139,v44,5.271938605271939
i140,v06,0.4337671004337671
i141,v06,15.048381715048382
i142,v06,0.033366700033366704
i143,v25,0.033366700033366704
i144,v38,15.048381715048382
i145,out,
i146,out,
i147,v18,0.033366700033366704
i148,v44,6.072739406072739
i149,v18,0.033366700033366704
i150,out,
i151,v06,15.048381715048382
i152,v27,21.65498832165499
i153,v06,15.048381715048382
i154,out,
i155,out,
i156,out,
i157,out,
i158,out,
i159,v49,7.774441107774441
i160,v06,15.048381715048382
i161,v20,5.405405405405405
i162,out,
i163,out,
i164,v06,7.774441107774441
i165,v20,5.405405405405405
i166,out,
i167,out,
i168,v06,11.911911911911913
i169,v27,16.850183516850183
i170,v06,15.048381715048382
i171,out,
i172,v28,0.13346680013346682
i173,v06,15.048381715048382
i174,v38,15.048381715048382
i175,v20,5.405405405405405
i176,v06,11.177844511177845
i177,v27,21.65498832165499
i178,v44,6.172839506172839
i179,out,
i180,v49,7.874541207874541
i181,v06,15.048381715048382
i182,v49,7.874541207874541
i183,v27,21.65498832165499
i184,v18,0.033366700033366704
i185,v06,12.012012012012013
i186,v18,1.8685352018685353
i187,out,
i188,v06,15.048381715048382
i189,out,
i190,v20,5.038371705038372
i191,v27,21.65498832165499
i192,v06,11.911911911911913
i193,out,
i194,v39,9.175842509175842
i195,out,
i196,v39,6.0060060060060065
i197,v06,11.911911911911913
i198,v27,19.252585919252585
i199,v49,7.774441107774441
i200,v06,15.048381715048382
