image,video,minutage
i001,v01,0.8341675008341676
i002,v31,11.644978311644978
i003,v22,0.5338672005338673
i004,v42,24.124124124124126
i005,v50,24.357691024357692
i006,v27,21.287954621287955
i007,v40,12.84617951284618
i008,v30,4.371037704371038
i009,v24,12.078745412078746
i010,v06,2.1688355021688355
i011,v03,4.8715382048715385
i012,v15,16.883550216883553
i013,v17,17.884551217884553
i014,v16,20.387053720387055
i015,v13,6.2729396062729395
i016,v47,9.242575909242577
i017,v01,15.215215215215215
i018,v35,10.643977310643978
i019,v25,2.5358692025358693
i020,v50,24.357691024357692
i021,v09,2.569235902569236
i022,v01,8.441775108441776
i023,v36,1.001001001001001
i024,v17,15.38204871538205
i025,v32,2.1688355021688355
i026,v50,24.357691024357692
i027,v16,16.983650316983653
i028,v33,12.445779112445779
i029,v37,5.939272605939273
i030,v22,12.445779112445779
i031,v42,16.816816816816818
i032,v14,3.1364698031364697
i033,v03,28.52852852852853
i034,v20,0.2002002002002002
i035,v47,9.242575909242577
i036,v11,7.240573907240575
i037,v27,1.7684351017684352
i038,v07,9.60960960960961
i039,v31,11.644978311644978
i040,v37,13.713713713713714
i041,v47,6.8401735068401734
i042,v50,24.357691024357692
i043,v14,0.06673340006673341
i044,v39,17.283950617283953
i045,v12,3.803803803803804
i046,v38,7.5075075075075075
i047,v11,10.076743410076745
i048,v18,9.075742409075742
i049,v23,4.437771104437771
i050,v23,11.077744411077745
i051,v29,6.0060060060060065
i052,v08,12.045378712045379
i053,v45,9.00900900900901
i054,v24,12.045378712045379
i055,v23,7.540874207540875
i056,v03,39.23923923923924
i057,v40,1.3680347013680347
i058,v24,0.4004004004004004
i059,v46,11.911911911911913
i060,v45,17.484150817484153
i061,v26,8.274941608274942
i062,v43,20.387053720387055
i063,v50,24.357691024357692
i064,v34,6.206206206206207
i065,v14,0.06673340006673341
i066,v26,4.170837504170838
i067,v41,14.080747414080747
i068,v10,9.142475809142477
i069,v41,0.6339673006339673
i070,v25,3.6703370036703373
i071,v20,12.045378712045379
i072,v29,3.7037037037037037
i073,v45,17.484150817484153
i074,v15,13.246579913246581
i075,v36,4.904904904904905
i076,v39,18.21821821821822
i077,v07,13.646980313646981
i078,v09,11.745078411745078
i079,v34,6.206206206206207
i080,v24,5.939272605939273
i081,v45,16.750083416750083
i082,v19,7.941274607941275
i083,v38,15.28194861528195
i084,v04,1.1678345011678346
i085,v03,36.80347013680347
i086,v27,25.925925925925927
i087,v50,24.357691024357692
i088,v46,11.911911911911913
i089,v28,2.4024024024024024
i090,v35,9.843176509843177
i091,v38,0.9342676009342676
i092,v42,26.893560226893563
i093,v19,0.9009009009009009
i094,v37,0.3670337003670337
i095,v27,14.68134801468135
i096,v27,16.583249916583252
i097,v08,14.414414414414415
i098,v20,6.039372706039373
i099,v47,9.242575909242577
i100,v27,3.1364698031364697
i101,v07,7.574240907574241
i102,v30,15.215215215215215
i103,v32,7.974641307974641
i104,v46,9.042375709042377
i105,v40,9.70970970970971
i106,v06,5.205205205205205
i107,v27,14.88154821488155
i108,v21,11.11111111111111
i109,v41,9.50950950950951
i110,v03,6.2729396062729395
i111,v49,5.772439105772439
i112,v42,3.7370704037370706
i113,v43,11.911911911911913
i114,v13,0.26693360026693363
i115,v07,2.469135802469136
i116,v01,15.38204871538205
i117,v42,4.704704704704705
i118,v14,0.06673340006673341
i119,v09,4.571237904571238
i120,v48,12.078745412078746
i121,v44,1.2012012012012012
i122,v30,6.039372706039373
i123,v44,13.613613613613614
i124,v12,10.51051051051051
i125,v45,17.484150817484153
i126,v03,15.815815815815817
i127,v30,6.3730397063730395
i128,v36,3.8705372038705375
i129,v03,21.72172172172172
i130,v41,12.312312312312313
i131,v44,18.184851518184853
i132,v18,9.142475809142477
i133,v07,10.877544210877545
i134,v12,7.407407407407407
i135,v29,14.214214214214214
i136,v15,3.7704371037704374
i137,v46,9.042375709042377
i138,v14,0.06673340006673341
i139,v46,9.042375709042377
i140,v38,13.747080413747081
i141,v41,7.874541207874541
i142,v24,12.078745412078746
i143,v47,9.242575909242577
i144,v50,2.4357691024357693
i145,v34,0.7340674007340674
i146,v06,7.974641307974641
i147,v09,11.745078411745078
