image,video,minutage
i001,v18,8.0
i002,v31,9.0
i003,v22,2.0
i004,v42,24.0
i005,v50,18.0
i006,v27,23.0
i007,v32,3.0
i008,v44,12.0
i009,v15,8.0
i010,v41,12.0
i011,v03,28.0
i012,v15,17.0
i013,v13,12.0
i014,v30,11.0
i015,v13,6.0
i016,v37,9.0
i017,v01,17.0
i018,v35,12.0
i019,v16,20.0
i020,v50,19.0
i021,v09,2.0
i022,v01,12.0
i023,v36,3.0
i024,v13,12.0
i025,v32,1.0
i026,v21,8.0
i027,v16,16.0
i028,v33,4.0
i029,v37,6.0
i030,v22,14.0
i031,v42,14.0
i032,v14,2.0
i033,v03,30.0
i034,v20,5.0
i035,v37,9.0
i036,v11,9.0
i037,v27,2.0
i038,v07,10.0
i039,v31,9.0
i040,v37,9.0
i041,v47,4.0
i042,v50,1.0
i043,v21,6.0
i044,v39,18.0
i045,v12,5.0
i046,v38,6.0
i047,v11,12.0
i048,v18,6.0
i049,v23,4.0
i050,v23,11.0
i051,v29,3.0
i052,v08,11.0
i053,v45,9.0
i054,v44,12.0
i055,v23,8.0
i056,v03,40.0
i057,v09,7.0
i058,v24,3.0
i059,v46,11.0
i060,v43,12.0
i061,v26,7.0
i062,v30,11.0
i063,v50,10.0
i064,v34,5.0
i065,v21,2.0
i066,v26,7.0
i067,v41,14.0
i068,v10,12.0
i069,v41,3.0
i070,v25,6.0
i071,v30,11.0
i072,v29,3.0
i073,v43,12.0
i074,v15,13.0
i075,v36,4.0
i076,v30,11.0
i077,v07,11.0
i078,v09,10.0
i079,v34,7.0
i080,v24,5.0
i081,v24,2.0
i082,v19,7.0
i083,v38,15.0
i084,v04,1.0
i085,v03,33.0
i086,v27,26.0
i087,v21,8.0
i088,v46,8.0
i089,v28,4.0
i090,v35,12.0
i091,v38,1.0
i092,v42,26.0
i093,v19,2.0
i094,v16,15.0
i095,v24,4.0
i096,v27,8.0
i097,v08,14.0
i098,v20,5.0
i099,v08,9.0
i100,v27,3.0
i101,v07,7.0
i102,v44,15.0
i103,v32,8.0
i104,v46,2.0
i105,v09,9.0
i106,v41,12.0
i107,v27,4.0
i108,v21,6.0
i109,v48,6.0
i110,v03,1.0
i111,v49,3.0
i112,v42,3.0
i113,v43,11.0
i114,v13,7.0
i115,v07,3.0
i116,v49,7.0
i117,v42,5.0
i118,v21,6.0
i119,v09,2.0
i120,v48,5.0
i121,v44,3.0
i122,v30,9.0
i123,v44,14.0
i124,v12,7.0
i125,v44,11.0
i126,v03,30.0
i127,v19,1.0
i128,v36,3.0
i129,v03,33.0
i130,v16,12.0
i131,v44,19.0
i132,v18,4.0
i133,v07,10.0
i134,v12,5.0
i135,v29,12.0
i136,v44,11.0
i137,v46,8.0
i138,v21,6.0
i139,v46,5.0
i140,v38,13.0
i141,v49,1.0
i142,v15,8.0
i143,v47,1.0
i144,v50,1.0
i145,v34,1.0
i146,v06,12.0
i147,v09,9.0
i148,v41,11.0
i149,v09,10.0
i150,v25,8.0
i151,v30,11.0
i152,v13,12.0
i153,v49,6.0
i154,v27,8.0
i155,v42,14.0
i156,v09,2.0
i157,v05,7.0
i158,v30,10.0
i159,v45,3.0
i160,v49,1.0
i161,v21,2.0
i162,v30,10.0
i163,v33,4.0
i164,v43,19.0
i165,v21,8.0
i166,v06,12.0
i167,v06,14.0
i168,v34,8.0
i169,v41,10.0
i170,v49,1.0
i171,v33,4.0
i172,v49,2.0
i173,v49,1.0
i174,v50,18.0
i175,v21,8.0
i176,v32,4.0
i177,v13,12.0
i178,v41,10.0
i179,v18,4.0
i180,v11,3.0
i181,v16,10.0
i182,v11,1.0
i183,v44,12.0
i184,v24,10.0
i185,v15,8.0
i186,v15,1.0
i187,v06,9.0
i188,v32,8.0
i189,v32,3.0
i190,v21,8.0
i191,v44,12.0
i192,v09,9.0
i193,v04,3.0
i194,v48,5.0
i195,v06,12.0
i196,v48,5.0
i197,v38,6.0
i198,v24,3.0
i199,v08,1.0
i200,v16,13.0
