image,video,minutage
i001,v01,1.0
i002,v31,10.0
i003,v22,1.0
i004,v42,24.0
i005,v50,15.0
i006,v27,21.0
i007,v32,3.0
i008,v30,4.0
i009,v15,8.0
i010,v41,12.0
i011,v03,11.0
i012,v15,17.0
i013,v17,10.0
i014,v44,18.0
i015,v13,7.0
i016,v16,8.0
i017,v01,16.0
i018,v35,11.0
i019,v25,2.0
i020,v50,23.0
i021,v09,1.0
i022,v01,9.0
i023,v36,2.0
i024,v17,16.0
i025,v32,2.0
i026,v21,8.0
i027,v16,17.0
i028,v33,13.0
i029,v37,6.0
i030,v22,12.0
i031,v42,14.0
i032,v14,8.0
i033,v03,28.0
i034,v20,1.0
i035,v16,8.0
i036,v11,9.0
i037,v27,2.0
i038,v07,9.0
i039,v31,7.0
i040,v37,9.0
i041,v47,2.0
i042,v50,2.0
i043,v38,1.0
i044,v39,17.0
i045,v12,4.0
i046,v38,8.0
i047,v11,10.0
i048,v18,12.0
i049,v23,5.0
i050,v23,11.0
i051,v29,3.0
i052,v08,11.0
i053,v45,8.0
i054,v44,12.0
i055,v23,8.0
i056,v03,39.0
i057,v19,8.0
i058,v24,3.0
i059,v46,10.0
i060,v43,9.0
i061,v26,8.0
i062,v44,19.0
i063,v50,11.0
i064,v34,5.0
i065,v38,10.0
i066,v26,4.0
i067,v41,14.0
i068,v10,9.0
i069,v41,3.0
i070,v25,4.0
i071,v44,18.0
i072,v29,5.0
i073,v43,10.0
i074,v15,13.0
i075,v36,5.0
i076,v44,18.0
i077,v07,14.0
i078,v09,12.0
i079,v34,6.0
i080,v24,5.0
i081,v43,9.0
i082,v19,6.0
i083,v38,15.0
i084,v04,1.0
i085,v03,37.0
i086,v27,25.0
i087,v21,8.0
i088,v46,9.0
i089,v28,3.0
i090,v35,8.0
i091,v38,1.0
i092,v42,27.0
i093,v19,2.0
i094,v41,3.0
i095,v24,5.0
i096,v27,17.0
i097,v08,13.0
i098,v20,9.0
i099,v08,8.0
i100,v27,3.0
i101,v07,7.0
i102,v30,15.0
i103,v32,8.0
i104,v46,1.0
i105,v09,12.0
i106,v41,12.0
i107,v27,15.0
i108,v21,5.0
i109,v24,1.0
i110,v03,6.0
i111,v49,6.0
i112,v42,3.0
i113,v43,12.0
i114,v13,1.0
i115,v07,3.0
i116,v01,17.0
i117,v42,5.0
i118,v38,2.0
i119,v09,4.0
i120,v48,7.0
i121,v44,1.0
i122,v30,6.0
i123,v44,14.0
i124,v12,11.0
i125,v44,19.0
i126,v03,16.0
i127,v35,12.0
i128,v36,4.0
i129,v03,22.0
i130,v41,3.0
i131,v44,19.0
i132,v18,10.0
i133,v07,10.0
i134,v12,7.0
i135,v29,13.0
i136,v44,19.0
i137,v46,6.0
i138,v38,2.0
i139,v46,4.0
i140,v38,14.0
i141,v49,1.0
i142,v15,8.0
i143,v47,6.0
i144,v50,4.0
i145,v34,1.0
i146,v06,8.0
i147,v09,9.0
i148,v41,11.0
i149,v09,11.0
i150,v25,9.0
i151,v44,18.0
i152,v17,8.0
i153,v49,6.0
i154,v27,8.0
i155,v42,11.0
i156,v09,3.0
i157,v05,3.0
i158,v30,12.0
i159,v45,2.0
i160,v49,1.0
i161,v21,6.0
i162,v30,13.0
i163,v33,8.0
i164,v43,19.0
i165,v21,8.0
i166,v06,6.0
i167,v06,14.0
i168,v34,7.0
i169,v41,10.0
i170,v49,1.0
i171,v33,10.0
i172,v49,2.0
i173,v49,1.0
i174,v50,15.0
i175,v21,8.0
i176,v32,3.0
i177,v17,2.0
i178,v41,10.0
i179,v18,8.0
i180,v11,4.0
i181,v16,10.0
i182,v11,2.0
i183,v44,13.0
i184,v24,10.0
i185,v15,8.0
i186,v15,1.0
i187,v06,4.0
i188,v32,10.0
i189,v32,1.0
i190,v21,8.0
i191,v44,12.0
i192,v09,12.0
i193,v04,4.0
i194,v48,5.0
i195,v06,1.0
i196,v48,3.0
i197,v38,6.0
i198,v24,4.0
i199,v08,2.0
i200,v16,13.0
