image,video,minutage
i001,out,,7000
i002,v31,11.644978311644978,1677.2930572800926
i003,v22,0.5338672005338673,1578.952817534457
i004,v42,24.124124124124126,2986.999163039722
i005,v50,24.357691024357692,2138.9576900911343
i006,v27,21.287954621287955,2907.4356398723603
i007,out,,7000
i008,v30,4.371037704371038,1540.7264520348836
i009,out,,7000
i010,out,,7000
i011,v03,4.8715382048715385,2854.553905604166
i012,v15,16.883550216883553,1636.2725934269022
i013,v17,17.884551217884553,1556.877644518027
i014,out,,7000
i015,v13,6.2729396062729395,2807.2990578133995
i016,v47,9.242575909242577,5048.751330774769
i017,v01,15.215215215215215,2205.364822427346
i018,v35,10.643977310643978,1289.5022295444082
i019,v25,2.5358692025358693,934.7673507349302
i020,v50,24.357691024357692,1505.752967787213
i021,v09,2.569235902569236,1894.9374659866746
i022,v01,8.441775108441776,3116.1164933294776
i023,v36,1.001001001001001,3017.9691847333365
i024,v17,15.38204871538205,1175.516056887357
i025,v32,2.1688355021688355,1663.7493801651738
i026,v50,24.357691024357692,3241.563820133733
i027,v16,16.983650316983653,2784.9423692421356
i028,v33,12.445779112445779,1943.10473212331
i029,v37,5.939272605939273,1085.5367336023226
i030,v22,12.445779112445779,2104.2328768460966
i031,v42,16.816816816816818,1916.6392461806681
i032,v14,3.1364698031364697,3255.9511667099678
i033,v03,28.52852852852853,2152.9575007417125
i034,v20,0.2002002002002002,3015.0529016917762
i035,v47,9.242575909242577,5740.8117892855535
i036,v11,7.240573907240575,2290.0995611544927
i037,v27,1.7684351017684352,1625.1159958599878
i038,v07,9.60960960960961,2164.12060662062
i039,v31,11.644978311644978,3048.018372648039
i040,v37,13.713713713713714,1860.1537570856879
i041,v47,6.8401735068401734,1897.5631741789257
i042,v50,24.357691024357692,2021.3836845092028
i043,out,,7000
i044,v39,17.283950617283953,1981.85266859068
i045,v12,3.803803803803804,1516.3099946910593
i046,v38,7.5075075075075075,1830.9483881311346
i047,v11,10.076743410076745,1448.7677522639715
i048,v18,9.075742409075742,4103.465852179106
i049,v23,4.437771104437771,1241.6070231760127
i050,v23,11.077744411077745,914.6780854486457
i051,v29,6.0060060060060065,2903.0800884577743
i052,v08,12.045378712045379,2462.881239524147
i053,v45,9.00900900900901,1970.3141881436068
i054,out,,7000
i055,v23,7.540874207540875,1725.6789968009693
i056,v03,39.23923923923924,2176.7273600522412
i057,out,,7000
i058,v24,0.4004004004004004,1390.5703865680443
i059,v46,11.911911911911913,1497.577376965878
i060,out,,7000
i061,v26,8.274941608274942,3621.2597255651244
i062,out,,7000
i063,v50,24.357691024357692,1961.3107861835665
i064,v34,6.206206206206207,3160.384153864843
i065,out,,7000
i066,v26,4.170837504170838,1281.5436005068264
i067,v41,14.080747414080747,1824.615027889445
i068,v10,9.142475809142477,2703.5117902461607
i069,v41,0.6339673006339673,1025.6246876903851
i070,v25,3.6703370036703373,1047.09598413899
i071,out,,7000
i072,v29,3.7037037037037037,2188.6717433183076
i073,out,,7000
i074,v15,13.246579913246581,1119.6660216332368
i075,v36,4.904904904904905,907.7290344590725
i076,out,,7000
i077,v07,13.646980313646981,1402.6532001888422
i078,v09,11.745078411745078,1260.8647825996252
i079,v34,6.206206206206207,1611.2175520394508
i080,v24,5.939272605939273,1817.5610031027845
i081,out,,7000
i082,v19,7.941274607941275,1905.629030005578
i083,v38,15.28194861528195,2364.321467144432
i084,v04,1.1678345011678346,1136.621308967943
